places,placeid,user,userid,ratings
Tribhuvan Park,111,jonathangaertner,692,3.5
Tribhuvan Park,111,Dr.subodh,693,4
Tribhuvan Park,111,Anish M,694,3.5
Tribhuvan Park,111,Santoshi G,695,3.5
Tribhuvan Park,111,Trek with Serku,309,4.5
Tribhuvan Park,111,TriVli,696,3
Tribhuvan Park,111,Sangpo L,697,3.5
Tribhuvan Park,111,bhumi1008,370,4
Tribhuvan Park,111,Chandra K,698,4
Tribhuvan Park,111,Jigs Gaton,699,4
Shiva Parvati Temple,98,One_of_the_BOFs,363,3.5
Shiva Parvati Temple,98,Oldjack,354,3
Shiva Parvati Temple,98,jonahNJ,700,4
Shiva Parvati Temple,98,Hitesh Rathore,701,3.5
Shiva Parvati Temple,98,SHDD,702,3
Shiva Parvati Temple,98,bhumi1008,370,4
Bishal Bazaar,15,burl Kin,703,4
Bishal Bazaar,15,Jalal Iqbal,111,3.5
Bishal Bazaar,15,Ratnesh M,704,3
Bishal Bazaar,15,Arun Treks & Expedition P. Ltd.,705,3.5
Bishal Bazaar,15,accoustic103,706,3.5
Bishal Bazaar,15,Pradeep A,193,3
Bishal Bazaar,15,Dubaide,377,4
Bishal Bazaar,15,Mukesh S,280,3.5
Bishal Bazaar,15,Rina C,707,3.5
Bishal Bazaar,15,Rojan Shrestha,365,3
Annapurna Temple,4,Isabella S,102,4
Annapurna Temple,4,barcaranger,115,3.5
Annapurna Temple,4,KiwiKea,708,3
Annapurna Temple,4,Peregrineri,376,3.5
Annapurna Temple,4,Peregrineri,376,4
Annapurna Temple,4,Ashima Tiku,543,3
Annapurna Temple,4,bhumi1008,370,2.5
Annapurna Temple,4,vineet4u2016,541,3.5
Annapurna Temple,4,Sumitkoul,542,4
Annapurna Temple,4,Ashima Tiku,543,4.5
Maru Ganesh Shrine,69,One_of_the_BOFs,363,2.5
Maru Ganesh Shrine,69,Sumitkumar_13,307,3.5
Maru Ganesh Shrine,69,Ayan H,709,3
Maru Ganesh Shrine,69,bhumi1008,370,4
Maru Ganesh Shrine,69,Sudhir K,710,4
Maru Ganesh Shrine,69,LynneOz,711,4.5
Maru Ganesh Shrine,69,Douglas C,712,3
Maru Ganesh Shrine,69,Gunraj S,664,3.5
Maru Ganesh Shrine,69,7NRG,713,3
Maru Ganesh Shrine,69,swopnil-himalayan,464,4
Ratna Park,91,Jalal Iqbal,111,3
Ratna Park,91,Aussie_Binturong,475,2.5
Ratna Park,91,Rama Krishnan,714,2
Ratna Park,91,kezzzo193,715,2.5
Ratna Park,91,Rendy F,716,3
Ratna Park,91,Dattatreya G,632,3.5
Ratna Park,91,Lillemusen,717,3
Ratna Park,91,swopnil-himalayan,464,5
Ratna Park,91,Gopinath Prabhu,603,3
Ratna Park,91,Quest Travels I,718,2.5
Thahiti Chowk,105,Terrie Christine,719,3.5
Thahiti Chowk,105,Oldjack,354,3
Thahiti Chowk,105,FirstRebreather,381,4.5
Thahiti Chowk,105,moviegeekjn,348,4
Thahiti Chowk,105,scoodly,463,3.5
Thahiti Chowk,105,Ricardo R,570,3
Thahiti Chowk,105,Alaya_Nepal,380,4.5
Thahiti Chowk,105,vineet4u2016,541,4
Thahiti Chowk,105,Sumitkoul,542,4
Thahiti Chowk,105,Ashima Tiku,543,3.5
Nara Devi Temple,81,Oldjack,354,3.5
Nara Devi Temple,81,annie S,720,3.5
Nara Devi Temple,81,vineet4u2016,541,3
Nara Devi Temple,81,Sumitkoul,542,4
Nara Devi Temple,81,Ashima Tiku,543,3.5
Military Museum,72,Jalal Iqbal,111,2
Military Museum,72,oovavoo,422,2.5
Military Museum,72,Zise Shu,721,3
Military Museum,72,Full Time Explorer,722,4.5
Military Museum,72,Kiwisflythecoop,723,3.5
Shanti Spa,95,Michaelbvs,724,3.5
Shanti Spa,95,Hosam A,725,4
Shanti Spa,95,Yuri V,726,4.5
Shanti Spa,95,Voyager464613,727,4
Shanti Spa,95,Turquoise Ã°Å¸â€™â„¢,728,3.5
Shanti Spa,95,Claire,729,4
Shanti Spa,95,Vitthal B,730,4.5
Shanti Spa,95,Mia B,731,5
Shanti Spa,95,Blanca2007,732,5
Shanti Spa,95,Leticia,733,4.5
Gokarneshwor Mahadev Temple,40,Jalal Iqbal,111,3.5
Gokarneshwor Mahadev Temple,40,Trek with Serku,309,3.5
Gokarneshwor Mahadev Temple,40,Yogendra Rajkarnikar,495,3
Gokarneshwor Mahadev Temple,40,bhumi1008,370,4
Gokarneshwor Mahadev Temple,40,PKinSingapore,629,4.5
Makhan Tole,66,Oldjack,354,2.5
Makhan Tole,66,vineet4u2016,541,3.5
Makhan Tole,66,Sumitkoul,542,3
Makhan Tole,66,Ashima Tiku,543,4
Makhan Tole,66,Erwin K,600,3.5
Makhan Tole,66,durgesh R,734,4
